#
#   Mass - radius relations for carbon core WDs with:
#   a helium envelope:    M_{He}/M_{*} = 10^{-2}
#   a hydrogen envelope:  M_{H}/M_{*} = 10^{-5}
#   in units of WD stellar mass.
#
#   T_{eff}:   effective temperature (in 10^3 K)
#   M/Mo:      stellar mass in units of solar masses
#   100 R/Ro:  100 x [stellar radius in units of solar radius]
#
# T_{eff}[10^3 K]   M/Mo     100 R/Ro
#
  45.0000000    1.1250000    0.6906343
   5.0000000    1.1500000    0.6253895
  15.0000000    1.1500000    0.6332616
  25.0000000    1.1500000    0.6412361
  35.0000000    1.1500000    0.6491201
  45.0000000    1.1500000    0.6579634
   5.0000000    1.1750000    0.5960494
  15.0000000    1.1750000    0.6029604
  25.0000000    1.1750000    0.6098360
  35.0000000    1.1750000    0.6168583
  45.0000000    1.1750000    0.6247049
   5.0000000    1.2000000    0.5651951
  15.0000000    1.2000000    0.5711788
  25.0000000    1.2000000    0.5774796
  35.0000000    1.2000000    0.5837251
  45.0000000    1.2000000    0.5906421
