#
#   Mass - radius relations for iron core WDs with:
#   a helium envelope:    M_{He}/M_{*} = 10^{-2}
#   a hydrogen envelope:  M_{H}/M_{*} = 10^{-5}
#   in units of WD stellar mass.
#
#   T_{eff}:   effective temperature (in 10^3 K)
#   M/Mo:      stellar mass in units of solar masses
#   100 R/Ro:  100 x [stellar radius in units of solar radius]
#
# T_{eff}[10^3 K]   M/Mo     100 R/Ro
#
  45.0000000    0.7400000    0.8860681
  55.0000000    0.7400000    0.9028007
  70.0000000    0.7400000    0.9298617
   5.0000000    0.7500000    0.8062145
  15.0000000    0.7500000    0.8245199
  25.0000000    0.7500000    0.8403669
  35.0000000    0.7500000    0.8568912
  45.0000000    0.7500000    0.8720752
  55.0000000    0.7500000    0.8880174
  70.0000000    0.7500000    0.9137585
   5.0000000    0.7600000    0.7949061
  15.0000000    0.7600000    0.8124478
  25.0000000    0.7600000    0.8275335
  35.0000000    0.7600000    0.8434842
  45.0000000    0.7600000    0.8581946
  55.0000000    0.7600000    0.8733997
  70.0000000    0.7600000    0.8976176
   5.0000000    0.7700000    0.7841982
  15.0000000    0.7700000    0.8010641
  25.0000000    0.7700000    0.8154480
  35.0000000    0.7700000    0.8308505
  45.0000000    0.7700000    0.8444020
  55.0000000    0.7700000    0.8589322
  70.0000000    0.7700000    0.8818767
   5.0000000    0.7800000    0.7726456
  15.0000000    0.7800000    0.7888025
  25.0000000    0.7800000    0.8024913
  35.0000000    0.7800000    0.8173446
  45.0000000    0.7800000    0.8307112
  55.0000000    0.7800000    0.8445724
  70.0000000    0.7800000    0.8663987
   5.0000000    0.7900000    0.7615617
  15.0000000    0.7900000    0.7770889
  25.0000000    0.7900000    0.7901279
  35.0000000    0.7900000    0.8044725
  45.0000000    0.7900000    0.8171608
  55.0000000    0.7900000    0.8303356
  70.0000000    0.7900000    0.8511051
   5.0000000    0.8000000    0.7500787
  15.0000000    0.8000000    0.7649992
  25.0000000    0.8000000    0.7774011
  35.0000000    0.8000000    0.7912265
  45.0000000    0.8000000    0.8037144
  55.0000000    0.8000000    0.8161386
  70.0000000    0.8000000    0.8359495
   5.0000000    0.8100000    0.7390996
  15.0000000    0.8100000    0.7534332
  25.0000000    0.8100000    0.7652459
  35.0000000    0.8100000    0.7785838
  45.0000000    0.8100000    0.7906306
  55.0000000    0.8100000    0.8020858
  70.0000000    0.8100000    0.8209283
   5.0000000    0.8200000    0.7277226
  15.0000000    0.8200000    0.7414514
  25.0000000    0.8200000    0.7526942
  35.0000000    0.8200000    0.7655445
  45.0000000    0.8200000    0.7771278
  55.0000000    0.8200000    0.7880865
  70.0000000    0.8200000    0.8061050
   5.0000000    0.8300000    0.7162290
  15.0000000    0.8300000    0.7293644
  25.0000000    0.8300000    0.7400530
